1,18:48:05.687,Thread Group 1-1,WebDriver home page,868,Success,44249,0,0,0
10,18:48:07.511,Thread Group 1-1,WebDriver click mail,74,Success,44271,0,0,0
100,18:48:22.009,Thread Group 1-1,WebDriver home page,601,Success,44017,0,0,0
101,18:48:22.655,Thread Group 1-1,WebDriver click mail,92,Success,44017,0,0,0
102,18:48:22.792,Thread Group 1-1,WebDriver click mail,69,Success,44018,0,0,0
103,18:48:22.891,Thread Group 1-1,WebDriver click mail,70,Success,44015,0,0,0
104,18:48:23.005,Thread Group 1-1,WebDriver click mail,90,Success,44009,0,0,0
105,18:48:23.138,Thread Group 1-1,WebDriver click mail,83,Success,44002,0,0,0
106,18:48:23.266,Thread Group 1-1,WebDriver click mail,77,Success,44023,0,0,0
107,18:48:23.375,Thread Group 1-1,WebDriver click mail,93,Success,44007,0,0,0
108,18:48:23.510,Thread Group 1-1,WebDriver click mail,79,Success,44010,0,0,0
109,18:48:23.630,Thread Group 1-1,WebDriver click mail,76,Success,44015,0,0,0
11,18:48:07.628,Thread Group 1-1,WebDriver click mail,92,Success,44265,0,0,0
110,18:48:23.746,Thread Group 1-1,WebDriver click mail,72,Success,44010,0,0,0
111,18:48:23.861,Thread Group 1-1,WebDriver home page,617,Success,44126,0,0,0
112,18:48:24.521,Thread Group 1-1,WebDriver click mail,79,Success,44141,0,0,0
113,18:48:24.632,Thread Group 1-1,WebDriver click mail,61,Success,44156,0,0,0
114,18:48:24.722,Thread Group 1-1,WebDriver click mail,65,Success,44171,0,0,0
115,18:48:24.819,Thread Group 1-1,WebDriver click mail,67,Success,44141,0,0,0
116,18:48:24.921,Thread Group 1-1,WebDriver click mail,88,Success,44125,0,0,0
117,18:48:25.051,Thread Group 1-1,WebDriver click mail,82,Success,44135,0,0,0
118,18:48:25.176,Thread Group 1-1,WebDriver click mail,79,Success,44125,0,0,0
119,18:48:25.284,Thread Group 1-1,WebDriver click mail,62,Success,44171,0,0,0
12,18:48:07.762,Thread Group 1-1,WebDriver home page,689,Success,44149,0,0,0
120,18:48:25.375,Thread Group 1-1,WebDriver click mail,85,Success,44132,0,0,0
121,18:48:25.502,Thread Group 1-1,WebDriver click mail,79,Success,44141,0,0,0
122,18:48:25.622,Thread Group 1-1,WebDriver home page,630,Success,44204,0,0,0
123,18:48:26.297,Thread Group 1-1,WebDriver click mail,71,Success,44209,0,0,0
124,18:48:26.395,Thread Group 1-1,WebDriver click mail,62,Success,44239,0,0,0
125,18:48:26.483,Thread Group 1-1,WebDriver click mail,59,Success,44212,0,0,0
126,18:48:26.570,Thread Group 1-1,WebDriver click mail,67,Success,44204,0,0,0
127,18:48:26.678,Thread Group 1-1,WebDriver click mail,59,Success,44204,0,0,0
128,18:48:26.764,Thread Group 1-1,WebDriver click mail,88,Success,44215,0,0,0
129,18:48:26.887,Thread Group 1-1,WebDriver click mail,83,Success,44212,0,0,0
13,18:48:08.496,Thread Group 1-1,WebDriver click mail,86,Success,44158,0,0,0
130,18:48:27.013,Thread Group 1-1,WebDriver click mail,80,Success,44239,0,0,0
131,18:48:27.132,Thread Group 1-1,WebDriver click mail,94,Success,44208,0,0,0
132,18:48:27.262,Thread Group 1-1,WebDriver click mail,59,Success,44204,0,0,0
133,18:48:27.355,Thread Group 1-1,WebDriver home page,613,Success,44107,0,0,0
134,18:48:28.013,Thread Group 1-1,WebDriver click mail,93,Success,44101,0,0,0
135,18:48:28.148,Thread Group 1-1,WebDriver click mail,79,Success,44095,0,0,0
136,18:48:28.269,Thread Group 1-1,WebDriver click mail,82,Success,44102,0,0,0
137,18:48:28.378,Thread Group 1-1,WebDriver click mail,75,Success,44097,0,0,0
138,18:48:28.493,Thread Group 1-1,WebDriver click mail,80,Success,44099,0,0,0
139,18:48:28.613,Thread Group 1-1,WebDriver click mail,76,Success,44095,0,0,0
14,18:48:08.627,Thread Group 1-1,WebDriver click mail,92,Success,44153,0,0,0
140,18:48:28.730,Thread Group 1-1,WebDriver click mail,49,Success,44095,0,0,0
141,18:48:28.819,Thread Group 1-1,WebDriver click mail,79,Success,44099,0,0,0
142,18:48:28.942,Thread Group 1-1,WebDriver click mail,75,Success,44104,0,0,0
