timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1617118244014,373,WebDriver home page,200,OK,Thread Group 1-1,text,true,,16423,0,1,1,http://localhost:8888/ma_mjPBAzBWFnsLK6LFSh2u,0,0,0
1617118244466,147,WebDriver click mail,200,OK,Thread Group 1-1,text,true,,16423,0,1,1,http://localhost:8888/ma_AzmGoBumZRcxL2UiWRwB,0,0,0
1617118244681,109,WebDriver click mail,200,OK,Thread Group 1-1,text,true,,39318,0,1,1,http://localhost:8888/ma_KWC5w3DpHbiToOjRInJ0,0,0,0
1617118244987,99,WebDriver click mail,200,OK,Thread Group 1-1,text,true,,16430,0,1,1,http://localhost:8888/ma_CxYEU3eTiT3SGbeC8kAv,0,0,0
1617118245144,102,WebDriver click mail,200,OK,Thread Group 1-1,text,true,,16220,0,1,1,http://localhost:8888/ma_XjDuWE13Cz0ndl00yA38,0,0,0
1617118245301,113,WebDriver click mail,200,OK,Thread Group 1-1,text,true,,76453,0,1,1,http://localhost:8888/ma_rODGwQbEH2nj2vghTEvL,0,0,0
1617118245490,92,WebDriver click mail,200,OK,Thread Group 1-1,text,true,,16211,0,1,1,http://localhost:8888/ma_webtxsWnwEVF2AzlFoOB,0,0,0
1617118245627,86,WebDriver click mail,200,OK,Thread Group 1-1,text,true,,16213,0,1,1,http://localhost:8888/ma_7oXiWdVIUsHuGAOA8Q6N,0,0,0
1617118245759,103,WebDriver click mail,200,OK,Thread Group 1-1,text,true,,39308,0,1,1,http://localhost:8888/ma_6BrQbpDHjDUSH0OyJ6GP,0,0,0
1617118245909,87,WebDriver click mail,200,OK,Thread Group 1-1,text,true,,16430,0,1,1,http://localhost:8888/ma_CxYEU3eTiT3SGbeC8kAv,0,0,0
1617118246041,115,WebDriver click mail,200,OK,Thread Group 1-1,text,true,,39330,0,1,1,http://localhost:8888/ma_Rfat17cP0dnV5OQsnenU,0,0,0
1617118246208,182,WebDriver home page,200,OK,Thread Group 1-1,text,true,,16423,0,1,1,http://localhost:8888/ma_mjPBAzBWFnsLK6LFSh2u,0,0,0
1617118246433,110,WebDriver click mail,200,OK,Thread Group 1-1,text,true,,16423,0,1,1,http://localhost:8888/ma_AdYnHY0xZjnYfczxKvMF,0,0,0
1617118246591,107,WebDriver click mail,200,OK,Thread Group 1-1,text,true,,39312,0,1,1,http://localhost:8888/ma_fv4VAfagm9ZcG6lp3wLp,0,0,0
1617118246747,117,WebDriver click mail,200,OK,Thread Group 1-1,text,true,,76471,0,1,1,http://localhost:8888/ma_KLt27DGhwpq7kFnW1kuz,0,0,0
1617118246925,108,WebDriver click mail,200,OK,Thread Group 1-1,text,true,,16421,0,1,1,http://localhost:8888/ma_VnU6KWHSjIzfeBvwueJK,0,0,0
1617118247082,122,WebDriver click mail,200,OK,Thread Group 1-1,text,true,,76464,0,1,1,http://localhost:8888/ma_jD9neFm1FdJAC3rueOVs,0,0,0
1617118247261,103,WebDriver click mail,200,OK,Thread Group 1-1,text,true,,16426,0,1,1,http://localhost:8888/ma_7UJnbnbeZ0sZIWY7EzL4,0,0,0
1617118247401,121,WebDriver click mail,200,OK,Thread Group 1-1,text,true,,39301,0,1,1,http://localhost:8888/ma_Q74TlkqNT78uuRKQAV4m,0,0,0
1617118247577,129,WebDriver click mail,200,OK,Thread Group 1-1,text,true,,76453,0,1,1,http://localhost:8888/ma_rODGwQbEH2nj2vghTEvL,0,0,0
1617118247771,116,WebDriver click mail,200,OK,Thread Group 1-1,text,true,,76498,0,1,1,http://localhost:8888/ma_VePIm4cxOoFeG3rnJBMU,0,0,0
1617118247944,104,WebDriver click mail,200,OK,Thread Group 1-1,text,true,,39330,0,1,1,http://localhost:8888/ma_Rfat17cP0dnV5OQsnenU,0,0,0
1617118248092,153,WebDriver home page,200,OK,Thread Group 1-1,text,true,,16423,0,1,1,http://localhost:8888/ma_mjPBAzBWFnsLK6LFSh2u,0,0,0
1617118248280,121,WebDriver click mail,200,OK,Thread Group 1-1,text,true,,16213,0,1,1,http://localhost:8888/ma_owVOWkZCvQnku5sI1apF,0,0,0
1617118248448,106,WebDriver click mail,200,OK,Thread Group 1-1,text,true,,16205,0,1,1,http://localhost:8888/ma_z4aLnL0eztKVxEibeh94,0,0,0
1617118248595,97,WebDriver click mail,200,OK,Thread Group 1-1,text,true,,16431,0,1,1,http://localhost:8888/ma_66JkqUMeUGJnRYcfqZoE,0,0,0
1617118248736,127,WebDriver click mail,200,OK,Thread Group 1-1,text,true,,76471,0,1,1,http://localhost:8888/ma_KLt27DGhwpq7kFnW1kuz,0,0,0
1617118248919,109,WebDriver click mail,200,OK,Thread Group 1-1,text,true,,39309,0,1,1,http://localhost:8888/ma_W9N19PiavPboBB66JZJO,0,0,0
1617118249090,94,WebDriver click mail,200,OK,Thread Group 1-1,text,true,,16437,0,1,1,http://localhost:8888/ma_5KJczcH0PgRlzOyRQQCe,0,0,0
1617118249223,101,WebDriver click mail,200,OK,Thread Group 1-1,text,true,,16220,0,1,1,http://localhost:8888/ma_XjDuWE13Cz0ndl00yA38,0,0,0
1617118249361,95,WebDriver click mail,200,OK,Thread Group 1-1,text,true,,16214,0,1,1,http://localhost:8888/ma_lioNTLbxNCQRUNd0vsRc,0,0,0
1617118249494,98,WebDriver click mail,200,OK,Thread Group 1-1,text,true,,39310,0,1,1,http://localhost:8888/ma_ImN4vpGcpbEFFeGadFR7,0,0,0
1617118249635,103,WebDriver click mail,200,OK,Thread Group 1-1,text,true,,39301,0,1,1,http://localhost:8888/ma_Q74TlkqNT78uuRKQAV4m,0,0,0
1617118249777,156,WebDriver home page,200,OK,Thread Group 1-1,text,true,,16423,0,1,1,http://localhost:8888/ma_mjPBAzBWFnsLK6LFSh2u,0,0,0
1617118249976,112,WebDriver click mail,200,OK,Thread Group 1-1,text,true,,39301,0,1,1,http://localhost:8888/ma_Q74TlkqNT78uuRKQAV4m,0,0,0
1617118250152,113,WebDriver click mail,200,OK,Thread Group 1-1,text,true,,16421,0,1,1,http://localhost:8888/ma_VnU6KWHSjIzfeBvwueJK,0,0,0
1617118250299,90,WebDriver click mail,200,OK,Thread Group 1-1,text,true,,16423,0,1,1,http://localhost:8888/ma_mjPBAzBWFnsLK6LFSh2u,0,0,0
1617118250435,103,WebDriver click mail,200,OK,Thread Group 1-1,text,true,,16430,0,1,1,http://localhost:8888/ma_4LFimnH6Q3XO8PLn6w63,0,0,0
1617118250575,93,WebDriver click mail,200,OK,Thread Group 1-1,text,true,,16431,0,1,1,http://localhost:8888/ma_66JkqUMeUGJnRYcfqZoE,0,0,0
1617118250705,115,WebDriver click mail,200,OK,Thread Group 1-1,text,true,,39306,0,1,1,http://localhost:8888/ma_YV3EIc23OJa2fEeFXQGV,0,0,0
1617118250863,84,WebDriver click mail,200,OK,Thread Group 1-1,text,true,,16430,0,1,1,http://localhost:8888/ma_4LFimnH6Q3XO8PLn6w63,0,0,0
1617118250983,102,WebDriver click mail,200,OK,Thread Group 1-1,text,true,,16433,0,1,1,http://localhost:8888/ma_Z4rUQmnjtOlUct67VQen,0,0,0
1617118251122,96,WebDriver click mail,200,OK,Thread Group 1-1,text,true,,39309,0,1,1,http://localhost:8888/ma_K7MViuF2REz0D02drz3T,0,0,0
1617118251266,97,WebDriver click mail,200,OK,Thread Group 1-1,text,true,,39308,0,1,1,http://localhost:8888/ma_6BrQbpDHjDUSH0OyJ6GP,0,0,0
1617118251404,160,WebDriver home page,200,OK,Thread Group 1-1,text,true,,16423,0,1,1,http://localhost:8888/ma_mjPBAzBWFnsLK6LFSh2u,0,0,0
1617118251600,114,WebDriver click mail,200,OK,Thread Group 1-1,text,true,,16198,0,1,1,http://localhost:8888/ma_SasMagkNyUyc3ghjhMDY,0,0,0
1617118251761,127,WebDriver click mail,200,OK,Thread Group 1-1,text,true,,16437,0,1,1,http://localhost:8888/ma_5KJczcH0PgRlzOyRQQCe,0,0,0
1617118251926,127,WebDriver click mail,200,OK,Thread Group 1-1,text,true,,16202,0,1,1,http://localhost:8888/ma_l7khWzkya5NYItLdcHvo,0,0,0
