TTFB,FCP,LCP,FID,CLS
4.885000002104789,126.81000000156928,293.02,2.520000001823064,0
3.0449999976553954,67.83999999606749,167.594,1.3400000025285408,0
1.9900000042980537,47.34000000462402,130.42,1.5400000047520734,0
1.759999999194406,44.04999999678694,160.439,1.5149999962886795,0
1.9699999975273386,46.69500000454718,163.079,1.9400000019231811,0
4.699999997683335,58.90499999804888,175.295,1.4349999983096495,0
2.5449999957345426,53.56999999639811,186.589,1.3850000032107346,0
3.555000002961606,47.24500000156695,163.63,1.3099999996484257,0
1.4599999994970858,38.88500000175554,138.704,7.095000000845175,0
1.2500000011641532,52.605000004405156,152.365,1.2399999977787957,0
1.949999998032581,55.13499999506166,138.269,1.9600000014179386,0
2.6900000011664815,50.435000004654285,166.815,1.5399999974761158,0
2.099999997881241,47.53499999787891,163.914,1.6049999976530671,0
2.6400000060675666,47.61000000144122,164.005,4.744999998365529,0
4.80999999854248,41.6449999975157,141.405,1.3199999957578257,0
3.170000003592577,50.64000000129454,133.719,1.6950000062934123,0
1.4250000022002496,39.38000000198372,139.139,1.414999998814892,0
2.795000000332948,42.34500000166008,142.169,1.7399999996996485,0
2.250000005005859,46.300000001792796,162.7,1.344999996945262,0

