timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1617102437781,366,WebDriver home page,200,OK,Thread Group 1-1,text,true,,13902,0,1,1,http://localhost:8888/ma_i8SsOopqbRIU2g1EkTnI,0,0,0
1617102438181,95,WebDriver click mail,200,OK,Thread Group 1-1,text,true,,74155,0,1,1,http://localhost:8888/ma_RhmWTnYRlgrz5rruH8DZ,0,0,0
1617102438349,63,WebDriver click mail,200,OK,Thread Group 1-1,text,true,,74185,0,1,1,http://localhost:8888/ma_VSy7NBEDYrAhOzXU0ZOa,0,0,0
1617102438449,73,WebDriver click mail,200,OK,Thread Group 1-1,text,true,,13896,0,1,1,http://localhost:8888/ma_ZnQYzZsvBb2FbNb1Mbwq,0,0,0
1617102438549,66,WebDriver click mail,200,OK,Thread Group 1-1,text,true,,13919,0,1,1,http://localhost:8888/ma_1p3K6PAfget9s39KAzsj,0,0,0
1617102438643,70,WebDriver click mail,200,OK,Thread Group 1-1,text,true,,14119,0,1,1,http://localhost:8888/ma_rnRCZvt3C51O5PEG3Zha,0,0,0
1617102438751,103,WebDriver click mail,200,OK,Thread Group 1-1,text,true,,74145,0,1,1,http://localhost:8888/ma_16sBkeK4yGHNJcGD8pat,0,0,0
1617102438903,103,WebDriver click mail,200,OK,Thread Group 1-1,text,true,,37019,0,1,1,http://localhost:8888/ma_EgYwLiQyZ2taMFAjWzZh,0,0,0
1617102439190,97,WebDriver click mail,200,OK,Thread Group 1-1,text,true,,74155,0,1,1,http://localhost:8888/ma_1PpB5lpBT2NyquREjEDz,0,0,0
1617102439333,78,WebDriver click mail,200,OK,Thread Group 1-1,text,true,,37007,0,1,1,http://localhost:8888/ma_U4H09hCraglapY5Vogue,0,0,0
1617102439451,98,WebDriver click mail,200,OK,Thread Group 1-1,text,true,,36995,0,1,1,http://localhost:8888/ma_T2NLQslVpiL3VwFR4MNo,0,0,0
1617102439594,132,WebDriver home page,200,OK,Thread Group 1-1,text,true,,13902,0,1,1,http://localhost:8888/ma_i8SsOopqbRIU2g1EkTnI,0,0,0
1617102439757,66,WebDriver click mail,200,OK,Thread Group 1-1,text,true,,13895,0,1,1,http://localhost:8888/ma_QGMOk57zK9QzXHVHO6ch,0,0,0
1617102439847,80,WebDriver click mail,200,OK,Thread Group 1-1,text,true,,37043,0,1,1,http://localhost:8888/ma_B48rR8V2PrSu62STqgo9,0,0,0
1617102439982,97,WebDriver click mail,200,OK,Thread Group 1-1,text,true,,74146,0,1,1,http://localhost:8888/ma_Bj6IkpffjcAP0OmBKDm8,0,0,0
1617102440127,64,WebDriver click mail,200,OK,Thread Group 1-1,text,true,,74155,0,1,1,http://localhost:8888/ma_1PpB5lpBT2NyquREjEDz,0,0,0
1617102440228,65,WebDriver click mail,200,OK,Thread Group 1-1,text,true,,74145,0,1,1,http://localhost:8888/ma_16sBkeK4yGHNJcGD8pat,0,0,0
1617102440332,78,WebDriver click mail,200,OK,Thread Group 1-1,text,true,,74185,0,1,1,http://localhost:8888/ma_VSy7NBEDYrAhOzXU0ZOa,0,0,0
1617102440450,94,WebDriver click mail,200,OK,Thread Group 1-1,text,true,,37013,0,1,1,http://localhost:8888/ma_lldbZIsQdLRSf5YKn5nd,0,0,0
1617102440584,73,WebDriver click mail,200,OK,Thread Group 1-1,text,true,,36998,0,1,1,http://localhost:8888/ma_2GCQxmzp9Oy5oCz0OSOv,0,0,0
1617102440691,68,WebDriver click mail,200,OK,Thread Group 1-1,text,true,,13899,0,1,1,http://localhost:8888/ma_yeYtODOetmCPWMqi2zep,0,0,0
1617102440794,83,WebDriver click mail,200,OK,Thread Group 1-1,text,true,,13904,0,1,1,http://localhost:8888/ma_3nL2KdFURHiBRTDNufYM,0,0,0
1617102440914,142,WebDriver home page,200,OK,Thread Group 1-1,text,true,,13902,0,1,1,http://localhost:8888/ma_i8SsOopqbRIU2g1EkTnI,0,0,0
1617102441091,76,WebDriver click mail,200,OK,Thread Group 1-1,text,true,,14121,0,1,1,http://localhost:8888/ma_zjbPijIPY4VagAetzx8P,0,0,0
1617102441207,91,WebDriver click mail,200,OK,Thread Group 1-1,text,true,,36998,0,1,1,http://localhost:8888/ma_2GCQxmzp9Oy5oCz0OSOv,0,0,0
1617102441358,80,WebDriver click mail,200,OK,Thread Group 1-1,text,true,,13894,0,1,1,http://localhost:8888/ma_okiRHAbTXExI0rWtsEc9,0,0,0
1617102441477,100,WebDriver click mail,200,OK,Thread Group 1-1,text,true,,74155,0,1,1,http://localhost:8888/ma_RhmWTnYRlgrz5rruH8DZ,0,0,0
1617102441609,63,WebDriver click mail,200,OK,Thread Group 1-1,text,true,,74152,0,1,1,http://localhost:8888/ma_qc7d14dk3Lv7vNjVfZUW,0,0,0
1617102441710,73,WebDriver click mail,200,OK,Thread Group 1-1,text,true,,74154,0,1,1,http://localhost:8888/ma_Kr1SAqRVyXlxgvs2sxRK,0,0,0
1617102441820,71,WebDriver click mail,200,OK,Thread Group 1-1,text,true,,13894,0,1,1,http://localhost:8888/ma_okiRHAbTXExI0rWtsEc9,0,0,0
1617102441931,109,WebDriver click mail,200,OK,Thread Group 1-1,text,true,,74159,0,1,1,http://localhost:8888/ma_eU77NyaXizXOef0lXzcz,0,0,0
1617102442093,81,WebDriver click mail,200,OK,Thread Group 1-1,text,true,,74160,0,1,1,http://localhost:8888/ma_2clJ0uqDxMaqBnX2nkYe,0,0,0
1617102442227,103,WebDriver click mail,200,OK,Thread Group 1-1,text,true,,13919,0,1,1,http://localhost:8888/ma_1p3K6PAfget9s39KAzsj,0,0,0
1617102442366,142,WebDriver home page,200,OK,Thread Group 1-1,text,true,,13902,0,1,1,http://localhost:8888/ma_i8SsOopqbRIU2g1EkTnI,0,0,0
1617102442550,73,WebDriver click mail,200,OK,Thread Group 1-1,text,true,,13900,0,1,1,http://localhost:8888/ma_2hBoHlA1gkS5gyNBtr2F,0,0,0
